상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도
놀부빈대떡,유흥주점,호프/맥주,기타 주점업,소사본동,37.479661922965,126.795221147148
친구네정육식당,한식,갈비/삼겹살,한식 음식점업,소사본동,37.4769859266599,126.795230193062
명태어장,한식,한정식전문,한식 음식점업,소사본동,37.4734815685108,126.795297754394
사랑채,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4807376992138,126.792038070652
소소한사치,기타음식업,고속도로휴게소,그외 기타 음식점업,소사본동,37.479964749469,126.795758988475
카페정담,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4801521103158,126.791165602833
오가네소머리국밥,한식,해장국/감자탕,한식 음식점업,소사본동,37.4802089482822,126.793199831666
소사순대,별식/퓨전요리,순대전문점,한식 음식점업,소사본동,37.4797564198325,126.793885487326
기분좋은커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4742835939017,126.795307491282
영광한식부페,부페,한식부페,한식 음식점업,소사본동,37.4759684942082,126.795303055678
셀렉토커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4807027063418,126.793022293708
투썸플레이스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4694974936818,126.796921754161
양사부쿵푸짬뽕,중식,중국음식/중국집,중식 음식점업,소사본동,37.4795054278344,126.794895778448
육회한통닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4805917098673,126.793623319332
카페노랑,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4816753543575,126.797393601315
반올림피자샵,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",소사본동,37.4750192253616,126.800304055742
김밥천국,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.481688488404,126.792497639693
시골즉석손두부,한식,두부요리전문,한식 음식점업,소사본동,37.4794491933674,126.793799975706
쿠웨이트떡볶이,분식,떡볶이전문,분식 및 김밥 전문점,소사본동,37.469565562371,126.795643225421
Hocoffee,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.481092393617,126.794124061413
보원,별식/퓨전요리,사철탕전문,한식 음식점업,소사본동,37.4787254789071,126.793517649691
혜원다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4790656242535,126.793297363094
케잌하우스구페,제과제빵떡케익,제과점,제과점업,소사본동,37.4787978732578,126.79531416327
시골영양탕,닭/오리요리,삼계탕전문,한식 음식점업,소사본동,37.477032150719,126.792696933483
시골영양탕,닭/오리요리,삼계탕전문,한식 음식점업,소사본동,37.4805329060055,126.794924501887
서울뚝배기,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4795054278344,126.794895778448
파리바게뜨,제과제빵떡케익,제과점,제과점업,소사본동,37.4796031568722,126.792994755664
대감영양탕,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4766438179834,126.795258297063
이디야커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4801992366657,126.791368358008
능안영양돌솥,한식,돌솥/비빕밥전문점,한식 음식점업,소사본동,37.4803794084426,126.794893047992
금룡,중식,중국음식/중국집,중식 음식점업,소사본동,37.4773184500059,126.795145713025
월드대박,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4787600138051,126.793370114586
행복한포차,유흥주점,소주방/포장마차,기타 주점업,소사본동,37.4812880239363,126.795635991518
숲속다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4787766083927,126.79587981198
궁노래빠,유흥주점,룸살롱/단란주점,일반유흥 주점업,소사본동,37.4809564521527,126.794047100901
빵나라빵마을,제과제빵떡케익,제과점,제과점업,소사본동,37.4796488898273,126.793943747147
도네비,한식,갈비/삼겹살,한식 음식점업,소사본동,37.476076601344,126.795301320231
돈고돈꼬,유흥주점,호프/맥주,기타 주점업,소사본동,37.4807428918706,126.794310581505
강호동치킨678,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4797188060013,126.797266672132
우정식당,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4805062334134,126.791431251312
박철샤브샤브앤연탄파불고기,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4731691698227,126.79205814802
서신분식,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4812715363764,126.792255606514
