상호명,행정동명,위도,경도,가게_주소
젬마커피,소사본동,37.4817760214901,126.794893229388,경기 부천시 경인옛로 25 한신더휴메트로 상가 지상 124호
빙하시대,소사본동,37.479782282675,126.794653899762,경기 부천시 부천로86번길 64
진담,소사본동,37.4756940340476,126.801095972016,경기 부천시 소안로 10
카페무홀,소사본동,37.4724536260391,126.800537254591,경기 부천시 소사로160번길 90 1층
돈우네정육식당,소사본동,37.4815241341814,126.793167371642,경기 부천시 호현로 488 1층 정다운그린빌 117호
쌍둥이베트남쌀국수,소사본동,37.4815241341814,126.793167371642,경기 부천시 호현로 488 정다운그린빌
디저트구스,소사본동,37.4805917098673,126.793623319332,경기 부천시 호현로 480
여우애김밥,소사본동,37.4817760214901,126.794893229388,경기 부천시 경인옛로 25 B1층 B105호~106호
아모르바베큐파티,소사본동,37.4795682711498,126.793990268004,경기 부천시 호현로474번길 15 1층 일부호
막창애삼겹,소사본동,37.4723921258388,126.797146681155,경기 부천시 소사로160번길 30
무식한초밥,소사본동,37.4756940340476,126.801095972016,경기 부천시 소안로 10
건달치킨,소사본동,37.4791439288071,126.793906638608,경기 부천시 호현로474번길 24
뉴욕어시장,소사본동,37.4725821532904,126.798997691024,경기 부천시 소사로160번길 61
여수식당,소사본동,37.4821300204595,126.790738003366,경기 부천시 경인로316번길 7-5
카페,소사본동,37.4824083310655,126.796816517864,경기 부천시 은성로62번길 13 백암빌딩 101호
하우마라탕,소사본동,37.4781295176489,126.797812224151,경기 부천시 소삼로 46 드링타워A동104
아이스크림할인점와와,소사본동,37.467000163556,126.801212223176,경기 부천시 소사로78번길 77
경성짜장,소사본동,37.4746948126881,126.797641135485,경기 부천시 은성로62번길 13
호식이두마리치킨,소사본동,37.4741931455535,126.798813634842,경기 부천시 은성로68번길 21-10
태리로제떡볶이,소사본동,37.4818210660789,126.794892505889,경기 부천시 경인옛로 25
꽃하루앙금플라워,소사본동,37.4770922094839,126.79240201412,"경기 부천시 호현로 439 1층, 꽃하루앙금플라워"
