상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,네이버키워드,naver_store_url
갈매뷔페,한식,한식/백반/한정식,한식 음식점업,별내동,37.6456889660586,127.125953125353,별내동%20갈매뷔페,https://m.place.naver.com/restaurant/1361489376
치르비어369,유흥주점,호프/맥주,기타 주점업,별내동,37.6515217128109,127.113078934203,별내동%20치르비어369,https://m.place.naver.com/restaurant/34806946
뚜레쥬르카페별내미리내,제과제빵떡케익,제과점,제과점업,별내동,37.6523006313884,127.11601617493,별내동%20뚜레쥬르카페별내미리내,https://m.place.naver.com/restaurant/1181714641
세상만사감자탕,한식,해장국/감자탕,한식 음식점업,별내동,37.6446161704489,127.111404659792,별내동%20세상만사감자탕,https://m.place.naver.com/restaurant/1743715551
흐름,한식,한식/백반/한정식,한식 음식점업,별내동,37.6661369414589,127.116736217721,별내동%20흐름,https://m.place.naver.com/restaurant/1993211479
곱창스토리,한식,곱창/양구이전문,한식 음식점업,별내동,37.6508730235317,127.11308664902,별내동%20곱창스토리,https://m.place.naver.com/restaurant/1839619489
BHC치킨별내점,닭/오리요리,후라이드/양념치킨,치킨 전문점,별내동,37.6498781553108,127.113789753254,별내동%20BHC치킨별내점,https://m.place.naver.com/restaurant/31135263
돈도야지,한식,기타고기요리,한식 음식점업,별내동,37.6511539388003,127.113298626309,별내동%20돈도야지,https://m.place.naver.com/restaurant/31608550
비어베네,유흥주점,호프/맥주,기타 주점업,별내동,37.6513206238042,127.113897270125,별내동%20비어베네,https://m.place.naver.com/restaurant/36554849
밀크앤허니,제과제빵떡케익,제과점,제과점업,별내동,37.6428056373593,127.125952915911,별내동%20밀크앤허니,https://m.place.naver.com/restaurant/38712338
맘스터치,닭/오리요리,후라이드/양념치킨,치킨 전문점,별내동,37.651320545406,127.115087189993,별내동%20맘스터치,https://m.place.naver.com/restaurant/38228274
착한저팔계,한식,기타고기요리,한식 음식점업,별내동,37.6501546112849,127.120631229409,별내동%20착한저팔계,https://m.place.naver.com/restaurant/1565877590
MAVERICK,양식,정통양식/경양식,서양식 음식점업,별내동,37.6478575277672,127.124341226753,별내동%20MAVERICK,https://m.place.naver.com/restaurant/1209745166
별내육두목,한식,갈비/삼겹살,한식 음식점업,별내동,37.6481225992005,127.123635525531,별내동%20별내육두목,https://m.place.naver.com/restaurant/36727664
풍천장어,일식/수산물,민물장어전문,한식 음식점업,별내동,37.6695481278608,127.11864546829,별내동%20풍천장어,https://m.place.naver.com/restaurant/44394392
더별돈까스,양식,돈가스전문점,서양식 음식점업,별내동,37.6720786417748,127.133045920398,별내동%20더별돈까스,https://m.place.naver.com/restaurant/1856953401
정일수산,일식/수산물,음식점-일식,일식 음식점업,별내동,37.6496783563462,127.106414794758,별내동%20정일수산,https://m.place.naver.com/restaurant/1605931655
이공국시별내점,분식,국수/만두/칼국수,분식 및 김밥 전문점,별내동,37.6718436388397,127.117156016252,별내동%20이공국시별내점,https://m.place.naver.com/restaurant/37775939
수진가든,한식,한식/백반/한정식,한식 음식점업,별내동,37.6642065870255,127.133454852904,별내동%20수진가든,https://m.place.naver.com/restaurant/18204776
