상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,네이버키워드,naver_store_url,store_address
시카고라운지,유흥주점,호프/맥주,기타 주점업,대야동,37.4432746022585,126.791374950678,대야동%20시카고라운지,https://m.place.naver.com/restaurant/1025751304,경기 시흥시 비둘기공원6길 8 이산프라자 302호
갯벌민물장어기장산꼼장어,일식/수산물,민물장어전문,한식 음식점업,대야동,37.4523164381763,126.795332152115,대야동%20갯벌민물장어기장산꼼장어,https://m.place.naver.com/restaurant/1611741434,경기 시흥시 은계중앙로306번길 70
백년회관서서갈비,한식,갈비/삼겹살,한식 음식점업,대야동,37.4432746022585,126.791374950678,대야동%20백년회관서서갈비,https://m.place.naver.com/restaurant/1541628330,경기 시흥시 비둘기공원6길 8 2층
마신떡볶이,분식,떡볶이전문,분식 및 김밥 전문점,대야동,37.325694337831,126.917771236804,대야동%20마신떡볶이,https://m.place.naver.com/restaurant/1021399571,경기 시흥시 은행로 267
콩심,한식,한식/백반/한정식,한식 음식점업,대야동,37.4439043068097,126.792155883243,대야동%20콩심,https://m.place.naver.com/restaurant/37471211,경기 시흥시 비둘기공원로 21
몽비쥬,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4456683510513,126.799032531452,대야동%20몽비쥬,https://m.place.naver.com/restaurant/1988323546,경기 시흥시 은행로 164 103호
최가네미친만두,분식,국수/만두/칼국수,분식 및 김밥 전문점,대야동,37.4629422955195,126.791171454404,대야동%20최가네미친만두,https://m.place.naver.com/restaurant/1150625693,경기 시흥시 호현로 275
송가네빈대떡,한식,한식/백반/한정식,한식 음식점업,대야동,37.4457765083252,126.798149310491,대야동%20송가네빈대떡,https://m.place.naver.com/restaurant/38008892,경기 시흥시 은행로167번길 3 송가네빈대떡
뷰티해봄,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4430001733574,126.792735455711,대야동%20뷰티해봄,https://m.place.naver.com/restaurant/1423308171,경기 시흥시 비둘기공원7길 33 5층 522호
유가네닭갈비,닭/오리요리,닭갈비전문,한식 음식점업,대야동,37.3155518844015,126.917183350397,대야동%20유가네닭갈비,https://m.place.naver.com/restaurant/1832005403,경기 부천시 범안로 64 1층
마이웨이,유흥주점,룸살롱/단란주점,일반유흥 주점업,대야동,37.4419279805779,126.790097044012,대야동%20마이웨이,https://m.place.naver.com/restaurant/1946622757,경기 부천시 경인로 264
카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.3166205432199,126.923700259424,대야동%20카페,https://m.place.naver.com/restaurant/1330553508,경기 시흥시 하우로122번길 50-3 베이커리카페 늘솜당
술친구,한식,한식/백반/한정식,한식 음식점업,대야동,37.4424319855359,126.785647767101,대야동%20술친구,https://m.place.naver.com/restaurant/1691789551,경기 부천시 경인로216번길 62
미스터보쌈,한식,족발/보쌈전문,한식 음식점업,대야동,37.4419591937493,126.786988878072,대야동%20미스터보쌈,https://m.place.naver.com/restaurant/36830926,경기 시흥시 뱀내장터로 21
