상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도
푸라닭치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,대야동,37.4400585942542,126.788805008221
제주흑돼지전문점,한식,갈비/삼겹살,한식 음식점업,대야동,37.4426437364331,126.790481042823
초원참숯양꼬치,유흥주점,꼬치구이전문점,기타 주점업,대야동,37.4429394216306,126.791199530523
맹순이꽃게찜전문점,일식/수산물,바닷가재/게요리전문,한식 음식점업,대야동,37.4431514757129,126.790789290959
구들짱삼겹살전문점,한식,갈비/삼겹살,한식 음식점업,대야동,37.4426437364331,126.790481042823
깻잎두마리치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,대야동,37.4419591937493,126.786988878072
마산아구찜시흥본점,일식/수산물,아구전문,한식 음식점업,대야동,37.4400625558595,126.792714851973
스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4417135512652,126.78763697534
피자집,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",대야동,37.3163024110995,126.922407378517
컴포즈커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4400585942542,126.788805008221
바이킹스,양식,패밀리레스토랑,서양식 음식점업,대야동,37.4430281272874,126.791943953422
배터지는생돈가스,양식,돈가스전문점,서양식 음식점업,대야동,37.4482106522128,126.795624028255
봉평메밀막국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,대야동,37.3270112419984,126.918903264297
진주식당,한식,한식/백반/한정식,한식 음식점업,대야동,37.4475917606751,126.812823469091
계수리원조양평해장국,한식,해장국/감자탕,한식 음식점업,대야동,37.448009040436,126.807731187089
청강가든,한식,한식/백반/한정식,한식 음식점업,대야동,37.4583453797582,126.814134186898
파리바게뜨,제과제빵떡케익,제과점,제과점업,대야동,37.450990135796,126.796042843365
BBQ치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,대야동,37.4424649502175,126.792382433969
미사리밀빛초계국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,대야동,37.3233996456174,126.892778604259
산마루,한식,한식/백반/한정식,한식 음식점업,대야동,37.4713241796913,126.783484724913
꽐라7080라이브단란주점,유흥주점,룸살롱/단란주점,일반유흥 주점업,대야동,37.4435906025551,126.790556206749
골목참치초밥,일식/수산물,음식점-일식,일식 음식점업,대야동,37.4454345116433,126.798188684923
한끼의설레임,한식,한식/백반/한정식,한식 음식점업,대야동,37.4520801670615,126.799562937052
40년전통보신탕,별식/퓨전요리,사철탕전문,한식 음식점업,대야동,37.4555697712343,126.78745853751
신창토종영양탕,닭/오리요리,삼계탕전문,한식 음식점업,대야동,37.3286446526489,126.915235215981
